segment,country,product,discount_band,units_sold,sale_price,gross_sales,discounts,net_sales,cogs,profit,month_name,month_number,year,sale_date,exchange_rate,target_currency,net_sales_converted,profit_converted
Government,Canada,Carretera,,1618.5,20.0,32370.0,0.0,32370.0,16185.0,16185.0,January,1,2014,2014-01-01,1.400848,AUD,45345.45,22672.72
Government,Germany,Carretera,,1321.0,20.0,26420.0,0.0,26420.0,13210.0,13210.0,January,1,2014,2014-01-01,1.400848,AUD,37010.4,18505.2
Midmarket,France,Carretera,,2178.0,15.0,32670.0,0.0,32670.0,21780.0,10890.0,June,6,2014,2014-06-01,1.400848,AUD,45765.7,15255.23
Midmarket,Germany,Carretera,,888.0,15.0,13320.0,0.0,13320.0,8880.0,4440.0,June,6,2014,2014-06-01,1.400848,AUD,18659.3,6219.77
Midmarket,Mexico,Carretera,,2470.0,15.0,37050.0,0.0,37050.0,24700.0,12350.0,June,6,2014,2014-06-01,1.400848,AUD,51901.42,17300.47
Government,Germany,Carretera,,1513.0,350.0,529550.0,0.0,529550.0,393380.0,136170.0,December,12,2014,2014-12-01,1.400848,AUD,741819.06,190753.47
Midmarket,Germany,Montana,,921.0,15.0,13815.0,0.0,13815.0,9210.0,4605.0,March,3,2014,2014-03-01,1.400848,AUD,19352.72,6450.91
Channel Partners,Canada,Montana,,2518.0,12.0,30216.0,0.0,30216.0,7554.0,22662.0,June,6,2014,2014-06-01,1.400848,AUD,42328.02,31746.02
Government,France,Montana,,1899.0,20.0,37980.0,0.0,37980.0,18990.0,18990.0,June,6,2014,2014-06-01,1.400848,AUD,53204.21,26602.1
Channel Partners,Germany,Montana,,1545.0,12.0,18540.0,0.0,18540.0,4635.0,13905.0,June,6,2014,2014-06-01,1.400848,AUD,25971.72,19478.79
Midmarket,Mexico,Montana,,2470.0,15.0,37050.0,0.0,37050.0,24700.0,12350.0,June,6,2014,2014-06-01,1.400848,AUD,51901.42,17300.47
Enterprise,Canada,Montana,,2665.5,125.0,333187.5,0.0,333187.5,319860.0,13327.5,July,7,2014,2014-07-01,1.400848,AUD,466745.04,18669.8
Small Business,Mexico,Montana,,958.0,300.0,287400.0,0.0,287400.0,239500.0,47900.0,August,8,2014,2014-08-01,1.400848,AUD,402603.72,67100.62
